City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches),Hotel Name
290,290,Bolgatanga,GH,10.79,-0.85,78.66,80,34,8.34,light rain,0.0,0,Mama's Place
292,292,Kieta,PG,-6.22,155.63,83.03,74,100,7.74,moderate rain,0.0,0,
294,294,Itoman,JP,26.12,127.67,86.0,89,75,13.87,broken clouds,0.0,0,Southern Beach Hotel & Resort Okinawa
295,295,Ndende,GA,-2.4,11.36,73.02,85,100,3.22,overcast clouds,0.0,0,
297,297,Belawan,ID,3.78,98.68,78.8,88,40,5.82,scattered clouds,0.0,0,Lilik Hidayat Pulungan
298,298,Cockburn Town,TC,21.46,-71.14,83.32,80,100,19.73,overcast clouds,0.0,0,Osprey Beach Hotel
300,300,Kiunga,PG,-6.12,141.29,75.74,96,100,2.26,overcast clouds,0.0,0,Airport Lodge Kiunga
301,301,Sakakah,SA,29.97,40.21,86.0,17,0,5.82,clear sky,0.0,0,Fakhamat Al Orjoana Apartment
303,303,Murgab,TM,37.5,61.97,82.4,37,0,4.7,clear sky,0.0,0,
304,304,Manaure,CO,11.78,-72.44,86.32,56,22,19.98,few clouds,0.0,0,Del mar vendra
305,305,Kunnamangalam,IN,11.3,75.88,75.2,88,75,4.7,broken clouds,0.0,0,Hotel Monad
306,306,Tondano,ID,1.3,124.91,77.0,94,20,2.24,few clouds,0.0,0,Villa Bella
309,309,Moerai,PF,-22.43,-151.33,71.04,71,13,23.09,few clouds,0.0,0,Le Manotel
311,311,Majene,ID,-3.54,118.97,77.54,86,45,11.79,scattered clouds,0.0,0,Kost Putri RABBANI
312,312,Xunchang,CN,28.45,104.72,75.61,91,100,0.51,overcast clouds,0.0,0,Jiabin Inn
319,319,Sakrand,PK,26.14,68.27,87.8,70,3,6.93,haze,0.0,0,New Mashaallah Hotel
321,321,Amuntai,ID,-2.42,115.25,73.15,98,91,1.3,moderate rain,0.0,0,Hotel Balqis
324,324,Tura,IN,25.52,90.22,75.15,99,100,4.88,heavy intensity rain,0.0,0,Hotel RIKMAN Continental
327,327,Nishihara,JP,26.18,127.76,84.2,83,40,11.41,scattered clouds,0.0,0,Minshuku Agaihama
329,329,Malabo,GQ,3.75,8.78,78.8,100,40,9.17,thunderstorm,0.0,0,Magno Suites
333,333,Bonthe,SL,7.53,-12.51,76.69,89,100,13.76,light rain,0.0,0,Bonthe Holiday Village
336,336,Cabedelo,BR,-6.98,-34.83,77.0,88,40,4.7,scattered clouds,0.0,0,Lua Mansa Pousada
337,337,Makakilo City,US,21.35,-158.09,87.8,48,75,10.29,broken clouds,0.0,0,Marriott's Ko Olina Beach Club
