City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
300,Kiunga,PG,-6.12,141.29,75.74,96,100,2.26,overcast clouds,0.0,0
301,Sakakah,SA,29.97,40.21,86.0,17,0,5.82,clear sky,0.0,0
302,Sungaipenuh,ID,-2.08,101.38,65.44,83,100,3.53,overcast clouds,0.0,0
303,Murgab,TM,37.5,61.97,82.4,37,0,4.7,clear sky,0.0,0
304,Manaure,CO,11.78,-72.44,86.32,56,22,19.98,few clouds,0.0,0
305,Kunnamangalam,IN,11.3,75.88,75.2,88,75,4.7,broken clouds,0.0,0
306,Tondano,ID,1.3,124.91,77.0,94,20,2.24,few clouds,0.0,0
307,Rosario,AR,-32.95,-60.64,55.0,62,67,8.05,broken clouds,0.0,0
308,Llanelli,GB,51.68,-4.16,55.99,93,65,12.75,broken clouds,0.0,0
309,Moerai,PF,-22.43,-151.33,71.04,71,13,23.09,few clouds,0.0,0
310,Mukhen,RU,48.1,136.1,58.75,92,100,3.24,overcast clouds,0.0,0
311,Majene,ID,-3.54,118.97,77.54,86,45,11.79,scattered clouds,0.0,0
